Date,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerName,CustomerEmail,CustomerAddress,CustomerPhone,CustomerSegment,SupplierName,SupplierLocation,SupplierContact,ShipperName,ShippingMethod,QuantitySold,TotalAmount,DiscountAmount,NetAmount,StockReceived,StockSold,StockOnHand
2021-10-26,Shannon,Home & Garden,Gardening Tools,68.01,Shane Gregory DVM,garciachristopher@example.net,776 Walker Knolls- New Monica- PW 86367,(950)386-0583,Silver,Mack- Wright-Mclaughlin,Alexandrachester,856-399-9995x715,Ltd,Ground,68,4624.68,20.21,4604.47,147,143,4
2023-07-21,Cynthia,InvalidCategory,Headphones,InvalidPrice,Martin Vargas,glendahill@example.com,PSC 6241- Box 6282- APO AE 91678,+1-995-372-2894x7095,Silver,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,Inc,Air,87,75937.95,63.16,75874.79,380,355,25
2022-05-21,Katie,Books,Non-fiction,InvalidPrice,Christian Reyes,valdezjames@example.org,582 Lisa Tunnel Apt. 314- Lake Marc- FM 32245,6832645534,Bronze,Campos-Murillo,Lawsontown,822-222-4939,Inc,Sea,50,32105.5,52.47,32053.03,369,11,358
2022-02-05,Kristine,Electronics,Headphones,228.82,Richard Larsen,allenrobert@example.org,10382 Grant Roads Suite 211- South Robertbury- TX 49901,914-849-5270x985,Bronze,Thornton- Jackson-Gray,Leslieville,001-575-242-3572x740,and Sons,Sea,53,12127.46,32.66,12094.8,430,169,261
2023-09-03,Fred,Books,Academic,95153.0,Christine Cruz,amysaunders@example.org,00058 Carl Ferry Suite 600- West Elizabeth- VI 89937,(601)837-3711,Gold,Campos-Murillo,Lawsontown,822-222-4939,Inc,Ground,46,43770.38,250.76,43519.62,361,106,255
2022-03-08,NonExistentProduct,Books,Fiction,InvalidPrice,Lisa Ross,victorpeterson@example.net,6399 Isaac Center Suite 189- South Jenniferport- MT 71568,001-855-515-3654,Silver,Campos-Murillo,Lawsontown,822-222-4939,Ltd,Air,5,2165.5,83.44,2082.06,94,35,59
2022-09-20,Cynthia,Electronics,Headphones,872.85,Cody Barrera,kortiz@example.com,05160 Harris Wall Apt. 196- Davisville- VA 44094,(256)307-1277x9420,Silver,King-Rodriguez,South Lindatown,7724600682,Inc,Ground,30,26185.5,211.8,25973.7,369,165,204
2022-10-19,Pamela,Electronics,Headphones,651.11,Anthony Williams,ymartinez@example.com,390 Gardner Rapid Apt. 301- North Joe- MA 24094,2525615942,Silver,Wagner- Jackson-Holt,Port Sarahview,+1-362-752-2777x1817,Group,Air,74,48182.14,103.67,48078.47,497,339,158
2022-06-23,Pamela,Electronics,Headphones,651.11,David Johns,danaedwards@example.com,629 Austin Dam Suite 067- West Samantha- OH 29688,888-474-5242x262,Silver,Roman-Chambers,Dennischester,,LLC,Sea,57,37113.27,57.53,37055.740000000005,317,282,35
2022-11-10,Robert,Electronics,Mobile,InvalidPrice,Tracy Fuller,mgentry@example.com,23184 Flowers Lights- Lake Ricky- AR 57292,352.859.0558,Bronze,Mathis- Olson-Ryan,Herreraland,(906)306-1777x264,PLC,Ground,34,28812.62,186.75,28625.87,389,241,148
2023-08-03,Jamie,Books,Fiction,930.3,Michelle Smith,alexandersmith@example.org,41979 Michael Estates- Jacobberg- VT 84825,001-869-479-2827x91713,Silver,Lee-Miller,South Emilyview,+1-588-750-7646,Inc,Sea,34,31630.2,238.83,31391.369999999995,447,5,442
2022-08-26,Amy,Home & Garden,Decor,36401.0,Martha Roy,timothyosborne@example.org,Unit 7553 Box 6489- DPO AP 30071,(981)955-8998,Bronze,Colon- Palmer-Welch,Antonioshire,230-757-6575x898,Group,Ground,33,12012.33,4.46,12007.87,429,206,223
2022-03-27,Cynthia,Electronics,Headphones,872.85,Barry Lyons,karinathomas@example.org,948 Marvin Stream Suite 551- East Carla- PA 78366,+1-621-356-9493x395,Bronze,Roman-Chambers,Dennischester,001-324-909-1637x2831,PLC,Ground,87,75937.95,56.67,75881.28,477,420,57
